,name,emd_g_a,emd_s_a,label,strength,frequency,locationx,locationy
0,0176.png,1.2680683135986328,0.057662852108478546,0,0.058333333333333334,8.138020833333333e-05,0.3179674959871589,0.4812734082397004
1,0177.png,1.2680683135986328,0.054846104234457016,0,0.0,0.0,0.3179674959871589,0.4812734082397004
2,0178.png,1.088668942451477,0.04715617373585701,0,0.0,0.00015113467261904762,0.3179674959871589,0.482560861423221
3,0179.png,2.495879888534546,0.046483397483825684,0,1.0769230769230769,0.00016276041666666666,0.3199739165329053,0.48270716292134835
4,0180.png,0.37823525071144104,0.07051459699869156,0,0.2857142857142857,4.650297619047619e-05,0.3201095779220779,0.4827769886363636
5,0181.png,0.3635909855365753,0.06500276178121567,0,2.75,0.00012788318452380953,0.3218344155844156,0.4823922821969697
6,0182.png,0.4879603981971741,0.04986480623483658,0,0.7272727272727273,9.300595238095238e-05,0.3234243697478992,0.4827205882352941
7,0183.png,0.26783350110054016,0.04690120369195938,0,0.75,6.975446428571428e-05,0.3237920168067227,0.4829350490196078
8,0184.png,0.26783350110054016,0.04739450290799141,0,0.0,0.0,0.3237920168067227,0.4829350490196078
9,0185.png,1.1297067403793335,0.033764149993658066,0,0.0,0.00025576636904761906,0.32767857142857143,0.4827205882352941
10,0186.png,1.4255397319793701,0.03928206115961075,0,0.09090909090909091,2.3251488095238094e-05,0.3279967159277504,0.4829382183908046
11,0187.png,0.6257928013801575,0.03325536847114563,0,3.0,6.975446428571428e-05,0.32804621848739496,0.4826593137254902
12,0188.png,0.29785454273223877,0.040227215737104416,0,1.1666666666666667,8.138020833333333e-05,0.3278829604130809,0.482429718875502
13,0189.png,0.30057865381240845,0.0424119271337986,0,0.7142857142857143,5.8128720238095235e-05,0.32679634353741494,0.4825458829365079
14,0190.png,0.30057865381240845,0.03272853419184685,0,0.0,0.0,0.32679634353741494,0.4825458829365079
15,0191.png,0.2595992386341095,0.03917039558291435,0,0.0,9.300595238095238e-05,0.32767857142857143,0.48199869791666666
16,0192.png,0.4242081344127655,0.039324961602687836,0,0.625,5.8128720238095235e-05,0.3278829604130809,0.482429718875502
17,0193.png,1.263398289680481,0.03145153447985649,0,1.0,5.8128720238095235e-05,0.3278061224489796,0.4825768849206349
18,0194.png,0.9529440402984619,0.03569074347615242,0,1.0,5.8128720238095235e-05,0.3283670395869191,0.4825865963855422
19,0195.png,1.3102108240127563,0.02125714346766472,0,1.0,5.8128720238095235e-05,0.3284970238095238,0.48301091269841273
20,0196.png,1.2826586961746216,0.026097379624843597,0,1.2,6.975446428571428e-05,0.328125,0.4830729166666667
21,0197.png,2.546994686126709,0.02959478087723255,0,1.0,6.975446428571428e-05,0.3283845514950166,0.4830729166666667
22,0198.png,2.359470844268799,0.03250773996114731,0,0.16666666666666666,1.1625744047619047e-05,0.3283845514950166,0.4830729166666667
23,0199.png,2.21244215965271,0.026659369468688965,0,5.0,5.8128720238095235e-05,0.32767857142857143,0.4827205882352941
24,0200.png,2.355890989303589,0.03245534002780914,0,0.2,1.1625744047619047e-05,0.32776162790697677,0.48286094961240306
25,0201.png,2.4234604835510254,0.028364727273583412,0,7.0,8.138020833333333e-05,0.32679634353741494,0.4825458829365079
26,0202.png,2.433527708053589,0.02940056473016739,0,0.14285714285714285,1.1625744047619047e-05,0.32679634353741494,0.4825458829365079
27,0203.png,1.8512636423110962,0.02294565737247467,0,8.0,9.300595238095238e-05,0.3260561846689895,0.48189786585365857
28,0204.png,2.011781692504883,0.025596901774406433,0,0.5,4.650297619047619e-05,0.32563025210084034,0.48167892156862746
29,0205.png,1.8601763248443604,0.035045258700847626,0,0.0,0.0,0.32563025210084034,0.48167892156862746
30,0206.png,1.8755296468734741,0.03282751888036728,0,0.0,5.8128720238095235e-05,0.3250956632653061,0.48173983134920634
31,0207.png,1.8867853879928589,0.025237128138542175,0,0.4,2.3251488095238094e-05,0.3248171256454389,0.4817708333333333
32,0208.png,2.011455774307251,0.030301911756396294,0,2.0,4.650297619047619e-05,0.32562712585034015,0.48183283730158727
33,0209.png,2.006603240966797,0.03239670395851135,0,1.0,4.650297619047619e-05,0.3246173469387755,0.4818948412698412
