,index,emd_ani_sal,emd_ani_gaze,label
0,284,5.00848913192749,4.565694332122803,0
1,285,5.153499126434326,4.542842388153076,0
2,286,4.436450958251953,4.6823883056640625,0
3,287,5.101705551147461,4.643502712249756,0
4,288,4.95988130569458,4.620532512664795,0
5,289,4.540122985839844,4.620532512664795,0
6,290,4.949145793914795,4.748095989227295,0
7,291,4.874416351318359,4.773728370666504,0
8,292,5.861395835876465,4.801769733428955,0
9,293,5.514847755432129,4.787983417510986,0
10,294,5.3676300048828125,4.774438858032227,0
11,295,5.041778087615967,4.6770758628845215,0
12,296,5.89885950088501,4.6770758628845215,0
13,297,5.3606462478637695,4.45805549621582,0
14,298,5.811429977416992,4.494050025939941,0
15,299,5.527068614959717,4.393016815185547,0
16,300,5.445826053619385,4.437061786651611,0
17,301,5.401854991912842,4.564896583557129,0
18,302,5.493227005004883,4.591439723968506,0
19,303,5.562398433685303,4.4315185546875,0
20,304,5.611179351806641,4.456755638122559,0
21,305,5.46311616897583,4.7411675453186035,0
22,306,5.49832820892334,4.7411675453186035,0
23,307,5.193501949310303,4.833521366119385,0
24,308,5.1670684814453125,4.843870639801025,0
25,309,5.40075159072876,4.737882137298584,0
26,310,5.867684364318848,4.786046028137207,0
27,311,4.953030109405518,4.819849014282227,0
28,312,5.153916835784912,4.664742469787598,0
29,313,5.35209321975708,4.6602091789245605,0
30,314,5.573610782623291,4.776587009429932,0
31,315,5.3944902420043945,4.7103986740112305,0
32,316,5.555357933044434,4.716238975524902,0
33,317,5.321797847747803,4.7072343826293945,0
34,318,5.665461540222168,4.761048316955566,0
35,319,4.302113056182861,4.761048316955566,0
36,320,5.2207722663879395,4.739746570587158,0
37,321,4.721534729003906,4.794060707092285,0
38,322,4.622153282165527,4.828857898712158,0
39,323,4.281433582305908,4.679535388946533,0
40,324,5.031652927398682,4.6266350746154785,0
41,325,4.552290439605713,4.699920177459717,0
42,326,5.3004584312438965,4.699920177459717,0
43,327,4.425343036651611,4.6888275146484375,0
44,328,5.06700325012207,4.710385799407959,0
45,329,4.935039043426514,4.7043585777282715,0
46,330,4.80178165435791,4.701496124267578,0
47,331,4.614030838012695,4.599548816680908,0
48,332,4.781035900115967,4.582744121551514,0
49,333,4.434239387512207,4.635298728942871,0
50,334,4.711595058441162,4.635298728942871,0
51,335,4.458217620849609,4.69170618057251,0
52,336,4.8771138191223145,4.712714195251465,0
53,337,4.757998943328857,4.642024993896484,0
54,338,4.640933036804199,4.732177734375,0
55,339,5.319888591766357,4.8710222244262695,0
56,340,5.444589614868164,4.871428966522217,0
57,341,4.715150356292725,4.692926406860352,0
58,342,4.7606682777404785,4.677515029907227,0
59,343,4.9738006591796875,4.67158842086792,0
60,344,4.511745452880859,4.692394733428955,0
61,345,3.949659824371338,4.797641754150391,0
62,346,4.825047969818115,4.719675540924072,0
63,347,3.806251287460327,4.784804821014404,0
64,348,4.326481819152832,4.785214900970459,0
65,349,4.2692389488220215,4.569249153137207,0
66,350,4.71793794631958,4.569249153137207,0
67,351,4.05928897857666,4.532691478729248,0
68,352,4.403278827667236,4.815926551818848,0
69,353,4.140881061553955,4.736025333404541,0
70,354,4.127595901489258,4.665605545043945,0
71,355,3.911771297454834,4.5600266456604,0
72,356,3.6853721141815186,4.7093892097473145,0
73,357,3.850313901901245,4.601311683654785,0
74,358,3.653053045272827,4.628132343292236,0
75,359,3.214141845703125,4.628132343292236,0
76,360,3.9654860496520996,4.760921001434326,0
77,361,3.9810025691986084,4.804503440856934,0
78,362,4.474885940551758,4.792877674102783,0
79,363,4.265166759490967,4.907231330871582,0
80,364,3.791879892349243,4.915226936340332,0
81,365,3.8949997425079346,4.915226936340332,0
82,366,4.320454120635986,4.663086414337158,0
83,367,3.8043932914733887,4.637811660766602,0
84,368,3.9178106784820557,4.850869178771973,0
85,369,4.141422748565674,4.883292198181152,0
86,370,4.163558483123779,4.883292198181152,0
87,371,4.591251850128174,4.988252639770508,0
88,372,4.500515937805176,4.857064723968506,0
89,373,4.326560020446777,3.632028341293335,0
90,374,4.905533313751221,2.910881757736206,0
91,375,4.39574670791626,2.910881757736206,0
92,376,4.513701915740967,2.952486991882324,0
93,377,4.637783050537109,2.8686790466308594,0
94,378,3.9008915424346924,2.5364573001861572,0
95,379,4.797022342681885,2.692488431930542,0
96,380,3.9045307636260986,2.7516398429870605,1
97,665,4.433985710144043,6.644838333129883,0
98,666,3.987527847290039,6.786875247955322,0
99,667,4.314837455749512,5.706156253814697,0
100,668,3.3571853637695312,5.607298851013184,0
101,669,3.718902587890625,6.101952075958252,0
102,670,3.614814281463623,5.850318431854248,0
103,671,4.30322265625,5.504613399505615,0
104,672,3.7573976516723633,5.529744625091553,0
105,673,4.196805953979492,5.655534267425537,0
106,674,4.439292907714844,5.655534267425537,0
107,675,4.062367916107178,5.678759574890137,0
108,676,3.7365596294403076,5.534996509552002,0
109,677,4.065417289733887,5.556854248046875,0
110,678,5.013652801513672,5.65211820602417,0
111,679,4.38523006439209,5.9845967292785645,0
112,680,4.052110195159912,6.0101704597473145,0
113,681,4.026006698608398,5.096656322479248,0
114,682,4.402565956115723,5.096656322479248,0
115,683,4.208350658416748,5.06877326965332,0
116,684,4.182058334350586,5.068889617919922,0
117,685,4.000357627868652,5.0642290115356445,0
118,686,4.729158401489258,5.1061553955078125,0
119,687,3.8967392444610596,5.147430419921875,0
120,688,4.246570110321045,5.147430419921875,0
121,689,4.49875545501709,5.132445812225342,0
122,690,4.460176944732666,5.202527046203613,0
123,691,3.785069227218628,5.783492088317871,0
124,692,3.8013455867767334,8.236006736755371,0
125,693,3.2279984951019287,8.673050880432129,0
126,694,3.5327441692352295,8.858586311340332,0
127,695,3.3611507415771484,8.816250801086426,0
128,696,3.8809518814086914,7.79184627532959,0
129,697,4.050838470458984,7.766117095947266,0
130,698,3.8742947578430176,8.03305721282959,0
131,699,3.2210164070129395,8.171838760375977,0
132,700,3.6953468322753906,8.15439510345459,0
133,701,3.7569000720977783,8.24699878692627,0
134,702,3.337162494659424,8.336430549621582,0
135,703,3.7884082794189453,7.876528263092041,0
136,704,4.057307243347168,7.876528263092041,0
137,705,3.076841354370117,8.56067180633545,0
138,706,3.7339165210723877,7.865729331970215,0
139,707,3.4363324642181396,7.731421947479248,0
140,708,4.3900675773620605,9.473823547363281,0
141,709,3.707303524017334,9.473823547363281,0
142,710,4.175011157989502,9.540926933288574,0
143,711,3.4756815433502197,9.195340156555176,0
144,712,5.304609298706055,9.21702766418457,0
145,713,3.996272563934326,9.438285827636719,0
146,714,5.10718297958374,9.438285827636719,0
147,715,3.7028350830078125,9.423457145690918,0
148,716,4.283393383026123,9.574112892150879,0
149,717,3.767611503601074,9.499968528747559,0
150,718,3.8529891967773438,8.43591022491455,0
151,719,4.127336502075195,8.43591022491455,0
152,720,3.874295234680176,8.697747230529785,0
153,721,4.006333827972412,9.109068870544434,0
154,722,3.198007822036743,9.12655258178711,0
155,723,4.150478839874268,9.12655258178711,0
156,724,4.0133819580078125,7.1611151695251465,0
157,725,3.547578811645508,6.545917987823486,0
158,726,3.605266809463501,6.413398742675781,0
159,727,3.572114944458008,5.976504802703857,0
160,728,3.857290029525757,5.577526092529297,0
161,729,3.744198799133301,5.323880672454834,0
162,730,3.8694934844970703,5.362865447998047,0
163,731,3.975813388824463,5.406576156616211,0
164,732,3.9774460792541504,5.3459792137146,0
165,733,3.6877315044403076,5.308952331542969,0
166,734,3.7127254009246826,5.382533550262451,0
167,735,4.010218143463135,5.382533550262451,0
168,736,3.8283700942993164,5.543283462524414,0
169,737,4.4024224281311035,5.550975322723389,0
170,738,4.6410932540893555,5.5451483726501465,0
171,739,4.870112895965576,5.5496697425842285,0
172,740,3.802090883255005,5.54709005355835,0
173,741,4.1150288581848145,5.591088771820068,0
174,742,4.340851306915283,5.591088771820068,0
175,743,4.54551362991333,5.490604400634766,0
176,744,4.370877742767334,5.679874420166016,0
177,745,4.462818622589111,5.424316883087158,0
178,746,4.5063395500183105,5.359379291534424,0
179,747,4.62749719619751,5.53095817565918,0
180,748,4.775804042816162,5.5150556564331055,0
181,749,4.891345024108887,5.720531463623047,0
182,750,3.7711973190307617,5.316879749298096,0
183,751,4.299447536468506,5.318864345550537,0
184,752,4.409756183624268,5.618557929992676,0
185,753,4.451656341552734,5.537603378295898,0
186,754,3.8184051513671875,5.537603378295898,0
187,755,3.0154597759246826,5.504277229309082,0
188,756,3.751279354095459,5.314256191253662,0
189,757,3.8127496242523193,5.413228511810303,0
190,758,5.3780622482299805,5.407897472381592,0
191,759,4.381831645965576,5.415593147277832,0
192,760,4.665110111236572,5.325935363769531,0
193,761,4.15309476852417,5.403555870056152,0
194,762,4.630228519439697,5.373106002807617,0
195,763,4.013671398162842,5.373106002807617,0
196,764,4.692201137542725,5.326689720153809,0
197,765,3.167297124862671,5.349064826965332,0
198,766,4.511571884155273,5.319704055786133,0
199,767,3.5800621509552,5.306033611297607,0
200,768,3.902601718902588,5.306033611297607,0
201,769,3.584754467010498,5.273423194885254,0
202,770,4.0550618171691895,5.350421905517578,0
203,771,4.141212463378906,5.357497692108154,0
204,772,3.5480411052703857,5.374114513397217,0
205,773,3.596350908279419,5.332618713378906,0
206,774,3.8304927349090576,5.345914840698242,0
207,775,4.173928737640381,5.318146228790283,0
208,776,4.930272579193115,5.352651596069336,0
209,777,3.3369336128234863,5.326139450073242,0
210,778,4.853607177734375,5.365346908569336,0
211,779,3.7580976486206055,5.365346908569336,0
212,780,4.738426208496094,5.349411487579346,0
213,781,3.9804863929748535,5.229243278503418,0
214,782,4.105605125427246,5.216039657592773,0
215,783,3.6769042015075684,5.1971588134765625,0
216,784,3.538749933242798,5.2614216804504395,0
217,785,3.534910202026367,5.216274261474609,0
218,786,2.9682552814483643,5.201173305511475,0
219,787,3.797079563140869,5.178919315338135,0
220,788,3.495483875274658,5.2175188064575195,0
221,789,4.666605472564697,5.285675048828125,0
222,790,2.840775728225708,5.3004631996154785,0
223,791,3.605020523071289,5.256322860717773,0
224,792,3.3098504543304443,5.341766834259033,0
225,793,3.855468273162842,5.341766834259033,0
226,794,3.77581787109375,5.364424228668213,0
227,795,4.127642631530762,5.574282169342041,0
228,796,3.3474667072296143,5.623589992523193,0
229,797,4.562917232513428,5.439704418182373,0
230,798,3.607116460800171,5.4385905265808105,0
231,799,3.289990186691284,5.575768947601318,0
232,800,3.732229232788086,5.71238899230957,0
233,801,3.821359872817993,5.756628513336182,0
234,802,3.376101016998291,5.46063232421875,0
235,803,3.6136109828948975,5.46063232421875,0
236,804,2.3316192626953125,5.385402679443359,0
237,805,3.6959149837493896,5.475325107574463,0
238,806,3.0739688873291016,5.68211555480957,0
239,807,3.052363872528076,5.593358039855957,0
240,808,3.11045241355896,5.593358039855957,0
241,809,3.656087636947632,5.704266548156738,0
242,810,3.5094423294067383,5.510528087615967,0
243,811,4.098247051239014,5.4238667488098145,0
244,812,2.5332467555999756,5.4238667488098145,0
245,813,3.2246503829956055,5.376059532165527,0
246,814,3.996089220046997,5.423252582550049,0
247,815,2.7277231216430664,6.034087181091309,0
248,816,2.8830037117004395,6.717998027801514,0
249,817,2.940406322479248,7.358696937561035,0
250,818,3.0710225105285645,6.960592746734619,0
251,819,3.2818949222564697,6.309012413024902,0
252,820,3.211153984069824,6.554965496063232,0
253,821,3.3548173904418945,6.812180042266846,0
254,822,3.3229169845581055,8.342095375061035,0
255,823,3.534522771835327,8.342095375061035,0
256,824,2.9669651985168457,6.881869792938232,0
257,825,3.4016430377960205,7.521970748901367,0
258,826,2.9670166969299316,7.561166286468506,0
259,827,3.3965349197387695,7.627457618713379,0
260,828,2.443155527114868,8.73056411743164,0
261,829,3.667558431625366,8.73056411743164,0
262,830,2.605663537979126,8.041532516479492,0
263,831,4.033269882202148,8.595662117004395,0
264,832,2.620957374572754,8.199588775634766,0
265,833,2.635009765625,7.933146953582764,0
266,834,3.028500556945801,7.933146953582764,0
267,835,3.374835968017578,7.6265482902526855,0
268,836,3.516078472137451,7.657149791717529,0
269,837,2.8062617778778076,7.352955341339111,0
270,838,3.8132164478302,8.257210731506348,0
271,839,3.315371036529541,8.886618614196777,0
272,840,3.606048822402954,9.304409980773926,0
273,841,2.8809282779693604,9.778382301330566,0
274,842,3.379817485809326,9.044727325439453,0
275,843,3.119302272796631,9.142582893371582,0
276,844,3.051750421524048,9.142582893371582,0
277,845,2.504796266555786,9.064318656921387,0
278,846,1.925991415977478,9.143184661865234,0
279,847,3.376002788543701,8.78078556060791,0
280,848,2.2281439304351807,8.917600631713867,0
281,849,3.715360164642334,8.912342071533203,0
282,850,2.0764458179473877,8.920607566833496,0
283,851,3.4441981315612793,8.902074813842773,0
284,852,2.5103747844696045,9.068293571472168,0
285,853,3.4776642322540283,9.07342529296875,0
286,854,2.575993776321411,9.060358047485352,0
287,855,3.311856508255005,9.054499626159668,0
288,856,2.46736216545105,7.976527214050293,0
289,857,2.61816143989563,7.976527214050293,0
290,858,3.3970117568969727,7.986790180206299,0
291,859,1.5597691535949707,7.9856672286987305,0
292,860,3.0948030948638916,7.993964672088623,0
293,861,3.006326675415039,7.993964672088623,0
294,862,3.5235304832458496,7.993964672088623,0
295,863,2.546663522720337,4.3908891677856445,0
296,864,3.535240411758423,4.3908891677856445,0
297,865,2.9432742595672607,4.595926284790039,0
298,866,4.059445858001709,6.3755645751953125,0
299,867,2.0592293739318848,5.684422492980957,0
300,868,3.373032569885254,5.304597854614258,0
301,869,3.852246046066284,4.994779586791992,0
302,870,2.1177821159362793,5.297211647033691,0
303,871,3.4953339099884033,5.431378364562988,0
304,872,3.1877224445343018,5.607541561126709,0
305,873,3.338125467300415,5.7774763107299805,0
306,874,3.0367181301116943,5.7774763107299805,0
307,875,5.452645301818848,5.9188971519470215,0
308,876,3.06376576423645,5.680804252624512,0
309,877,4.157552242279053,5.711882591247559,0
310,878,3.061783790588379,5.874715328216553,0
311,879,3.896968364715576,5.89561653137207,0
312,880,4.566117763519287,5.523122787475586,0
313,881,2.3266665935516357,6.546062469482422,0
314,882,2.8597207069396973,6.718114376068115,0
315,883,3.3968007564544678,6.0709309577941895,0
316,884,4.008363723754883,6.0709309577941895,0
317,885,3.6282429695129395,6.259840488433838,0
318,886,4.065788269042969,5.966441631317139,0
319,887,3.4047443866729736,5.960942268371582,0
320,888,3.925619602203369,5.960942268371582,0
321,889,4.258419036865234,5.843619346618652,0
322,890,3.112272262573242,5.840585708618164,0
323,891,4.302419662475586,5.92246150970459,0
324,892,2.1836843490600586,5.794898509979248,0
325,893,4.005681991577148,5.781533241271973,0
326,894,3.0198113918304443,5.839389801025391,0
327,895,3.740880250930786,5.623666763305664,0
328,896,2.354567050933838,5.623666763305664,0
329,897,4.580982208251953,5.850797176361084,0
330,898,3.6757657527923584,5.694887161254883,0
331,899,3.8488359451293945,5.574626445770264,0
332,900,4.106569290161133,5.616733074188232,0
333,901,3.232649564743042,5.644876480102539,0
334,902,2.8714823722839355,5.5333967208862305,0
335,903,2.6475892066955566,5.4960408210754395,0
336,904,2.7599124908447266,5.650815486907959,0
337,905,3.560030460357666,5.650815486907959,0
