,index,emd_ani_sal,emd_ani_gaze,label
0,238,0.0829866603016853,4.658324718475342,0
1,383,0.1069583222270011,0.2025612890720367,1
2,397,0.0934869199991226,0.1424636840820312,0
3,1265,0.0261495262384414,0.1201227009296417,1
4,1278,0.0992683321237564,0.062075562775135,0
5,3729,0.0968550667166709,0.3952415883541107,1
6,3743,0.1507288515567779,0.7401669025421143,0
7,5028,0.0456099808216095,0.4971178770065307,1
8,5038,0.0483656153082847,0.494556725025177,0
9,6726,0.0119666699320077,0.1533565670251846,1
10,6742,0.0109920548275113,0.2983223795890808,0
11,8908,0.0936896353960037,0.5610106587409973,1
