,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y,eucDist,emd_ani_sal_MA,labDelta_MA,area_MA,center_x_MA,center_y_MA
9,9,298,7.72156286239624,6.221146583557129,0,0.000407730321064,309.5,259.0,259.0,1.78353088,8.30309338569641,0.00025238126796425,281.45,233.9,233.9
10,10,299,8.091084480285645,6.228912830352783,0,0.00041570826731,312.0,260.0,260.0,1.0053712,8.21616759300232,0.00029395209469525,312.65,259.9,259.9
11,11,300,7.971360206604004,6.243921279907227,0,0.00044040832831,313.5,260.0,260.0,1.41526704,8.194533681869506,0.00030583515061835,313.1,259.9,259.9
12,12,301,8.630463600158691,5.567217826843262,0,0.00990123750937,314.5,260.0,260.0,0.97408592,8.239680624008178,0.00128706194453763,313.65,259.9,259.9
13,13,302,7.439563751220703,7.316353797912598,0,0.0101264239058,314.0,260.0,260.0,1.43156336,8.128214120864868,0.00223353147921443,313.85,259.9,259.9
14,14,303,8.431591033935547,6.67161750793457,0,0.000353775678593,312.5,260.0,260.0,1.00328104,8.083216905593872,0.00222687868365063,313.5,259.9,259.9
15,15,304,8.155435562133789,6.324501991271973,0,0.000465324154312,311.0,260.0,260.0,1.32016872,8.093432664871216,0.00227136086070776,313.0,259.9,259.9
16,16,305,8.108838081359863,6.324501991271973,0,0.00969812948591,311.0,260.0,260.0,1.25472464,8.114690923690796,0.0032207118434383598,312.6,259.9,259.9
17,17,306,7.78209924697876,5.953627586364746,0,0.0103092022946,313.0,260.0,260.0,1.34555072,8.036060523986816,0.00421450851257066,312.5,259.9,259.9
18,18,307,8.684830665588379,6.073423385620117,0,0.00105352293349,311.0,260.0,260.0,1.12800584,8.101682949066163,0.0043171462878759,312.2,259.9,259.9
19,19,308,7.953090190887451,6.147581100463867,0,0.000426291650321,311.0,260.0,260.0,1.16647088,8.124835681915282,0.0043190024208016,312.35,260.0,260.0
20,20,309,8.719057083129883,6.097208499908447,0,0.000603342828361,315.0,260.0,260.0,1.00609464,8.187632942199707,0.0043377658769066995,312.65,260.0,260.0
21,21,310,7.737734317779541,5.93431568145752,0,0.000420457122603,314.0,260.0,260.0,1.20579184,8.16427035331726,0.004335770756336,312.7,260.0,260.0
22,22,311,8.48739242553711,5.846268177032471,0,0.000320427907645,314.0,260.0,260.0,1.0157684,8.149963235855102,0.0033776897961635003,312.65,260.0,260.0
23,23,312,7.661218166351318,6.091306686401367,0,0.0725586740976,312.0,260.0,260.0,1.78114,8.172128677368164,0.0096209148153435,312.45,260.0,260.0
24,24,313,8.024142265319824,6.132593154907227,0,0.00975199455313,314.5,260.0,260.0,1.37032992,8.131383800506592,0.0105607367027972,312.65,260.0,260.0
25,25,314,7.303295612335205,6.051218032836914,0,0.0107916070076,311.5,260.0,260.0,1.96454816,8.046169805526734,0.011593364988126001,312.7,260.0,260.0
26,26,315,8.101037979125977,5.617512226104736,0,0.00802503236216,305.5,261.0,261.0,1.34337952,8.045389795303345,0.011426055275751,312.15,260.1,260.1
27,27,316,7.543676376342773,5.513926982879639,0,0.0053964541784,307.0,261.0,261.0,1.56016416,8.021547508239745,0.010934780464130999,311.55,260.2,260.2
28,28,317,7.870752334594727,5.513926982879639,0,0.00137996970577,307.0,261.0,261.0,1.26771248,7.940139675140381,0.010967425141359,311.15,260.3,260.3
29,29,318,7.873428821563721,6.038302898406982,0,0.009492532834,307.0,261.0,261.0,1.67978256,7.932173538208008,0.0118740492597269,310.75,260.4,260.4
30,30,319,7.524383544921875,6.222700595855713,0,0.0118063449234,311.5,260.0,260.0,1.75726032,7.812706184387207,0.0129943494692308,310.4,260.4,260.4
31,31,320,7.274298191070557,6.326103210449219,0,0.0100705180141,309.5,261.0,261.0,1.97648368,7.766362571716309,0.013959355558380501,309.95,260.5,260.5
32,32,321,7.535618782043457,5.869297981262207,0,0.0537101876817,314.0,260.0,260.0,1.76988112,7.6711852073669435,0.019298331535786,309.95,260.5,260.5
33,33,322,7.248785495758057,5.869297981262207,0,5.34756245741e-05,314.0,260.0,260.0,1.77876864,7.629941940307617,0.012047811688483411,310.15,260.5,260.5
34,34,323,8.065924644470215,5.984246253967285,0,0.0638543970686,309.5,260.0,260.0,1.48491424,7.634120178222656,0.01745805194003041,309.65,260.5,260.5
35,35,324,7.450826168060303,6.112133502960205,0,0.000449164893898,317.0,260.0,260.0,2.0345712,7.648873233795166,0.01642380772866021,310.2,260.5,260.5
36,36,325,7.75149393081665,6.112133502960205,0,0.0,317.0,260.0,260.0,1.90935888,7.613918828964233,0.015621304492444213,311.35,260.4,260.4
37,37,326,7.699215412139893,6.133942127227783,0,0.00017849946686,317.0,260.0,260.0,1.65250656,7.629472732543945,0.015099509021290211,312.35,260.3,260.3
38,38,327,7.964104175567627,4.9584784507751465,0,0.0692758291702,318.0,260.0,260.0,1.77154512,7.638807916641236,0.021889094967733214,313.45,260.2,260.2
39,39,328,7.926881313323975,4.649057865142822,0,0.0126888393275,313.5,260.0,260.0,1.33866368,7.644153165817261,0.022208725617083213,314.1,260.1,260.1
40,40,329,8.137572288513184,4.966784954071045,0,0.0143792861762,312.5,260.0,260.0,1.35149776,7.705472040176391,0.02246601974236321,314.2,260.1,260.1
41,41,330,7.885869026184082,4.966784954071045,0,0.00262598156458,312.5,260.0,260.0,1.2860284,7.7666291236877445,0.02172156609741121,314.5,260.0,260.0
42,42,331,8.05615234375,5.415543556213379,0,0.00901398315048,310.5,260.0,260.0,1.21846784,7.818682479858398,0.017251945644289213,314.15,260.0,260.0
43,43,332,7.409346103668213,5.491834163665772,0,0.00845183193559,307.5,260.0,260.0,1.74548128,7.834738540649414,0.0180917812753908,313.5,260.0,260.0
44,44,333,8.02315616607666,5.480610370635986,0,0.0741196550956,309.5,259.0,259.0,1.05635904,7.830461692810059,0.019118307078090802,313.5,259.9,259.9
45,45,334,7.390988349914551,5.347617149353027,0,0.000620997095321,312.5,259.0,259.0,1.36674384,7.824477910995483,0.019135490298233103,313.05,259.8,259.8
46,46,335,7.568495750427246,5.347617149353027,0,0.000117042752828,312.5,259.0,259.0,1.45008848,7.806178092956543,0.0191471945735159,312.6,259.7,259.7
47,47,336,8.150001525878906,5.3672194480896,0,0.07078744436,311.0,259.0,259.0,1.45752,7.851256704330444,0.026208089062829905,312.0,259.6,259.6
48,48,337,7.66325044631958,5.291282653808594,0,0.0492150018888,313.5,259.0,259.0,1.2808372,7.8211713314056395,0.024202006334689902,311.55,259.5,259.5
49,49,338,7.928539276123047,4.925009250640869,0,0.000190612299395,312.5,259.0,259.0,1.53724784,7.821337127685547,0.0229521836318794,311.45,259.4,259.4
50,50,339,7.787219047546387,5.042115688323975,0,0.000223766386502,311.5,259.0,259.0,1.29386384,7.786301803588867,0.021536631652909602,311.35,259.3,259.3
51,51,340,7.897544384002685,5.018515586853027,0,0.0107995440786,311.5,259.0,259.0,1.2161336,7.787469339370728,0.022353987904311604,311.25,259.2,259.2
52,52,341,7.808949947357178,4.991832733154297,0,0.0109772385341,310.0,259.0,259.0,1.07486448,7.762749099731446,0.0225503134426736,311.2,259.1,259.1
53,53,342,8.688227653503418,4.991832733154297,0,6.26395973339e-05,310.0,259.0,259.0,1.05920944,7.8906372547149655,0.021711394208847993,311.45,259.0,259.0
54,54,343,8.084599494934082,5.003899574279785,0,0.00105254447867,310.0,259.0,259.0,0.93562712,7.896781587600708,0.014404683147154993,311.5,259.0,259.0
55,55,344,8.461370468139648,4.893707752227783,0,0.000185454686454,309.0,259.0,259.0,1.05764712,8.003819799423217,0.014361128906268289,311.15,259.0,259.0
56,56,345,8.34687328338623,4.336635112762451,0,0.000190984572064,310.0,259.0,259.0,0.98296328,8.081657552719117,0.014368523088191892,310.9,259.0,259.0
57,57,346,7.990503787994385,5.611137866973877,0,0.06678667129,308.5,259.0,259.0,1.0475592,8.065707778930664,0.01396844578119189,310.65,259.0,259.0
58,58,347,8.057162284851074,5.171252250671387,0,0.0104992487366,309.5,259.0,259.0,1.086676,8.105098962783813,0.010096870465971892,310.25,259.0,259.0
59,59,348,7.983795166015625,5.208003997802734,0,0.000855224674472,307.5,259.0,259.0,1.14816168,8.110624551773071,0.010163331703479592,309.75,259.0,259.0
60,60,349,8.221951484680176,5.133431911468506,0,0.00038744482929,308.5,259.0,259.0,0.98139424,8.15409779548645,0.010179699547758391,309.45,259.0,259.0
61,61,350,8.07637882232666,4.69859504699707,0,0.0123010427018,306.5,259.0,259.0,0.98188768,8.171981239318848,0.010329849410078393,308.95,259.0,259.0
62,62,351,8.323046684265137,4.69859504699707,0,7.67098263418e-07,306.5,259.0,259.0,0.98439104,8.223390913009643,0.009232202266494734,308.6,259.0,259.0
63,63,352,8.191143989562988,4.889929294586182,0,0.0141244357137,304.0,258.0,258.0,1.04496424,8.1736825466156,0.010638381878131344,308.0,258.9,258.9
64,64,353,8.316384315490723,5.587990760803223,0,0.0148987615052,305.0,258.0,258.0,0.91575344,8.196861028671265,0.012023003580784345,307.5,258.8,258.8
65,65,354,7.988644599914551,5.935223579406738,0,0.0198072523067,300.0,258.0,258.0,1.14738784,8.149588441848755,0.013985183342808943,306.6,258.7,258.7
66,66,355,8.44487476348877,5.881923675537109,0,0.0154681892417,300.5,258.0,258.0,0.87817616,8.15938858985901,0.015512903809772544,305.65,258.6,258.6
67,67,356,8.1428804397583,5.881923675537109,0,9.95400494118e-05,300.5,258.0,258.0,1.03709232,8.1746262550354,0.008844190685713724,304.85,258.5,258.5
68,68,357,8.387824058532715,5.609510898590088,0,0.00258465668917,303.0,258.0,258.0,0.92390216,8.207692432403565,0.008052731480970724,304.2,258.4,258.4
69,69,358,7.628157615661621,5.794004440307617,0,0.00234105964943,307.0,258.0,258.0,1.3037136,8.172128677368164,0.008201314978466523,304.15,258.3,258.3
70,70,359,8.558881759643555,5.496176719665527,0,0.000981540846332,305.5,259.0,259.0,0.99396928,8.205821704864501,0.008260724580170725,303.85,258.3,258.3
71,71,360,8.293707847595215,5.496176719665527,0,0.000256217165471,305.5,259.0,259.0,1.09717816,8.227554607391358,0.007056242026537823,303.75,258.3,258.3
72,72,361,8.304786682128906,4.218198299407959,0,0.00107793521092,308.0,259.0,259.0,0.934624,8.225728607177734,0.007163958837803482,303.9,258.3,258.3
73,73,362,8.138092041015625,4.2197675704956055,0,0.00097006338329,308.0,258.0,258.0,1.09012736,8.220423412322997,0.005848521604762481,304.3,258.3,258.3
74,74,363,8.537740707397461,4.50395393371582,0,0.0022641382994,305.0,258.0,258.0,0.92669416,8.242559051513672,0.004585059284182482,304.3,258.3,258.3
75,75,364,8.616836547851562,4.713830947875977,0,0.0933309741772,305.0,259.0,259.0,0.9471496,8.305378246307374,0.011937431471232482,304.8,258.4,258.4
76,76,365,8.681692123413086,4.713830947875977,0,0.00197529715568,305.0,259.0,259.0,0.97704488,8.329059982299805,0.010588142262630482,305.25,258.5,258.5
77,77,366,8.269588470458984,5.242193698883057,0,0.0113524350988,305.5,258.0,258.0,0.93918032,8.341730785369872,0.011713431767569301,305.75,258.5,258.5
78,78,367,8.73798656463623,5.3790483474731445,0,0.0233559032494,306.0,259.0,259.0,1.034112,8.376747035980225,0.0137905564235923,306.05,258.6,258.6
79,79,368,8.084470748901367,5.3790483474731445,0,0.101436323804,306.0,259.0,259.0,0.99701768,8.4223783493042,0.023700082839049303,305.95,258.7,258.7
80,80,369,8.33267593383789,5.3790483474731445,0,0.0,306.0,259.0,259.0,1.00714488,8.399757766723633,0.0236019287544161,306.0,258.7,258.7
81,81,370,7.904122352600098,5.402292728424072,0,0.091807763797,303.5,258.0,258.0,1.26127648,8.360799217224121,0.032757083417569,305.8,258.6,258.6
82,82,371,8.018467903137207,5.375436782836914,0,0.00291811621974,305.0,259.0,259.0,1.09703984,8.33216733932495,0.032941101518451005,305.5,258.6,258.6
83,83,372,7.863786697387695,5.382988929748535,0,0.099406630701,304.5,259.0,259.0,1.16406504,8.304736804962157,0.042784758250222,305.15,258.7,258.7
84,84,373,7.417715549468994,2.002643346786499,0,0.224690967717,304.0,258.0,258.0,1.4346504,8.192734289169312,0.065027441191982,305.05,258.7,258.7
85,85,374,7.601261138916016,3.577441930770874,0,0.0472236215835,305.0,258.0,258.0,1.2825708,8.091176748275757,0.060416705932612,305.05,258.6,258.6
86,86,375,7.616485118865967,3.577441930770874,0,0.169802597904,305.0,258.0,258.0,1.16691968,7.984656047821045,0.077199436007444,305.05,258.5,258.5
87,87,376,7.824676036834717,3.1416382789611816,0,0.124228176096,308.5,258.0,258.0,1.32714656,7.940164804458618,0.088487010107164,305.35,258.5,258.5
88,88,377,7.180810928344727,3.2595584392547607,0,0.181913695989,305.5,259.0,259.0,1.84469104,7.784447240829468,0.104342789381124,305.3,258.5,258.5
89,89,378,8.003619194030762,3.265474796295166,0,0.0430973517478,306.0,259.0,259.0,1.09110352,7.776362085342408,0.098508892175504,305.3,258.5,258.5
90,90,379,7.9478440284729,3.265474796295166,0,0.0313894720044,306.0,259.0,259.0,1.14786792,7.737878894805908,0.10164783937594399,305.3,258.5,258.5
91,91,380,8.0160551071167,3.1592016220092773,0,0.0315483276453,309.0,259.0,259.0,1.16456216,7.749072170257568,0.095621895760774,305.85,258.6,258.6
92,92,381,7.670763492584228,4.769690990447998,0,0.0030235225667,309.0,259.0,259.0,1.31658608,7.714301729202271,0.09563243639547,306.25,258.6,258.6
