,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y,eucDist,emd_ani_sal_MA,labDelta_MA,area_MA,center_x_MA,center_y_MA
9,9,240,6.354157447814941,5.164295673370361,0,0.118343905482,291.5,172.0,172.0,0.80670272,5.663978385925293,0.10333930853045,269.0,154.7,154.7
10,10,241,5.9365668296813965,5.226221561431885,0,0.131118534417,301.0,171.0,171.0,0.80098432,5.683739805221558,0.11645116197215,299.1,171.8,171.8
11,11,242,6.590392589569092,4.526804924011231,0,0.0819371177298,302.5,171.0,171.0,0.80738448,5.774502086639404,0.11526399594162,297.7,171.9,171.9
12,12,243,5.236466884613037,3.654578924179077,0,0.0897291688727,301.0,171.0,171.0,0.81394088,5.745520687103271,0.11250438790869,296.3,171.9,171.9
13,13,244,6.568080902099609,3.669341802597046,0,0.0999628135917,301.5,171.0,171.0,0.78189344,5.845824241638184,0.10976474099576002,296.0,171.9,171.9
14,14,245,8.349196434020996,3.648603677749634,0,0.117034370456,299.5,171.0,171.0,1.15945008,6.128095531463623,0.10677742565296,296.05,171.8,171.8
15,15,246,6.722076416015625,3.531296968460083,0,0.11489482376,294.5,172.0,172.0,0.78642824,6.273417854309082,0.10685369838125999,296.7,171.7,171.7
16,16,247,6.063088417053223,3.808195590972901,0,0.131272250173,290.5,172.0,172.0,1.2606212,6.301142168045044,0.10414384506976,296.8,171.6,171.6
17,17,248,5.994787693023682,3.904360055923462,0,0.0876318604022,289.5,172.0,172.0,0.94578672,6.293218374252319,0.10648495652733,297.1,171.5,171.5
18,18,249,7.8534770011901855,4.260496139526367,0,0.089867668858,288.5,172.0,172.0,1.28429288,6.566829061508178,0.10617925137424,296.0,171.5,171.5
19,19,250,6.252623558044434,3.866019487380981,0,0.214035991741,294.0,172.0,172.0,0.83321232,6.556675672531128,0.11574846000014001,296.25,171.5,171.5
20,20,251,7.449033737182617,2.884238719940185,0,0.113958745356,299.0,172.0,172.0,1.1865156,6.70792236328125,0.11403248109404,296.05,171.6,171.6
21,21,252,5.48323392868042,3.384758472442627,0,0.108712727622,298.5,172.0,172.0,0.79661608,6.597206497192383,0.11671004208326001,295.65,171.7,171.7
22,22,253,7.803025245666504,4.623948097229004,0,0.127576933788,301.0,173.0,173.0,1.14404464,6.853862333297729,0.12049481857478998,295.65,171.9,171.9
23,23,254,5.864602088928223,4.623948097229004,0,0.0126998332846,301.0,173.0,173.0,0.798892,6.783514451980591,0.11176852054408,295.6,172.1,172.1
24,24,255,6.730352878570557,3.5968546867370605,0,0.172575995902,298.5,173.0,173.0,1.1531088,6.621630096435547,0.11732268308868002,295.5,172.3,172.3
25,25,256,5.612874031066895,3.6469900608062735,0,0.131132810902,299.0,173.0,173.0,0.77675544,6.5107098579406735,0.11894648180288,295.95,172.4,172.4
26,26,257,8.66602897644043,3.646841764450073,0,0.0263739922401,299.5,173.0,173.0,0.826144,6.771003913879395,0.10845665600959001,296.85,172.5,172.5
