,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y,eucDist,emd_ani_sal_MA,labDelta_MA,area_MA,center_x_MA,center_y_MA
9,9,415,6.8153977394104,4.09943962097168,0,0.143605546517,35.5,255.0,255.0,0.899712,7.130594968795776,0.233300282649409,34.25,229.5,229.5
10,10,416,6.986546039581299,3.622645139694214,0,0.314413704291,41.0,255.0,255.0,0.9628544,7.1241783618927,0.264741653078509,38.35,255.0,255.0
11,11,417,7.182069301605225,3.622645139694214,0,0.037661313339,41.0,255.0,255.0,0.9787552,7.025046634674072,0.24572769774790898,38.5,255.0,255.0
12,12,418,7.239668369293213,3.9743635654449454,0,0.21779848282,41.0,254.0,254.0,1.0454224,7.063262987136841,0.255352460970809,38.95,254.9,254.9
13,13,419,6.684758186340332,3.896800756454468,0,0.219960433112,41.5,254.0,254.0,0.75846872,6.9302832126617435,0.2772396458323,39.5,254.8,254.8
14,14,420,6.673140048980713,3.8983922004699703,0,0.197081670917,39.5,254.0,254.0,0.77965336,6.898959636688232,0.2567797085832,39.35,254.7,254.7
15,15,421,6.714845657348633,3.849116563796997,0,0.196247263126,38.5,253.0,253.0,0.83498232,6.811745929718017,0.24802009498329997,39.3,254.5,254.5
16,16,422,6.599584579467773,3.9051899909973145,0,0.276786904323,40.0,253.0,253.0,0.76215728,6.899861812591553,0.2402023347479,39.35,254.3,254.3
17,17,423,6.919923305511475,3.86801815032959,0,0.225884735408,37.0,253.0,253.0,0.84237832,6.900690317153931,0.22293657988219998,39.1,254.1,254.1
18,18,424,6.778101444244385,3.8965094089508057,0,0.334230155398,38.5,253.0,253.0,0.8285896,6.859403467178344,0.2163670209251,39.35,253.9,253.9
19,19,425,6.398431777954102,4.521245956420898,0,0.210324352729,39.0,253.0,253.0,0.80850336,6.817706871032715,0.2230389015463,39.7,253.7,253.7
20,20,426,6.242062091827393,4.5245280265808105,0,0.0758913489803,34.5,253.0,253.0,0.79913008,6.743258476257324,0.19918666601523,39.05,253.5,253.5
21,21,427,6.780996799468994,4.604857444763184,0,0.29267758337,40.5,252.0,252.0,0.84816312,6.703151226043701,0.22468829301833,39.0,253.2,253.2
22,22,428,6.322325229644775,4.995932579040527,0,0.139940767029,39.5,252.0,252.0,0.80979472,6.611416912078857,0.21690252143923,38.85,253.0,253.0
23,23,429,7.289118766784668,5.032753944396973,0,0.267260617155,37.5,252.0,252.0,0.9720252,6.671852970123291,0.22163253984352999,38.45,252.8,252.8
24,24,430,6.129904747009277,3.8761026859283447,0,0.248535216705,41.0,251.0,251.0,0.75161408,6.617529439926147,0.22677789442232998,38.6,252.5,252.5
25,25,431,6.748734951019287,3.8761026859283447,0,0.022914954639,41.0,251.0,251.0,0.94453712,6.6209183692932125,0.20944466357362995,38.85,252.3,252.3
26,26,432,6.409714221954346,3.805533170700073,0,0.293109365988,40.0,251.0,251.0,0.88377832,6.60193133354187,0.21107690974013,38.85,252.1,252.1
27,27,433,7.170024394989014,3.409863233566284,0,0.237320308788,37.0,251.0,251.0,1.26014888,6.626941442489624,0.21222046707812997,38.85,251.9,251.9
28,28,434,6.220154285430908,3.461048126220703,0,0.280406796259,41.5,250.0,250.0,0.88220296,6.571146726608276,0.20683813116423,39.15,251.6,251.6
29,29,435,6.223104953765869,3.452030658721924,0,0.165975495063,40.5,250.0,250.0,0.8780768,6.5536140441894535,0.20240324539762997,39.3,251.3,251.3
30,30,436,6.300260543823242,3.5255227088928223,0,0.352483737646,35.0,250.0,250.0,0.91292688,6.559433889389038,0.23006248426419998,39.35,251.0,251.0
31,31,437,6.217390537261963,3.5255227088928223,0,0.00618739673617,35.0,250.0,250.0,0.85734664,6.503073263168335,0.201413465600817,38.8,250.8,250.8
32,32,438,6.161374092102051,3.7562062740325928,0,0.182704885926,37.5,250.0,250.0,0.85494296,6.486978149414062,0.205689877490517,38.6,250.6,250.6
33,33,439,6.0632643699646,3.644336938858032,0,0.292095941512,36.5,250.0,250.0,0.96355808,6.364392709732056,0.208173409926217,38.5,250.4,250.4
34,34,440,6.529269218444824,3.5687096118927,0,0.275014117184,36.0,250.0,250.0,1.03713704,6.40432915687561,0.21082129997411697,38.0,250.3,250.3
35,35,441,5.8559675216674805,3.574683427810669,0,0.00703957101669,37.0,250.0,250.0,0.78816832,6.31505241394043,0.209233761611886,37.6,250.2,250.2
36,36,442,6.322617053985596,3.5314781665802,0,0.288145400908,35.5,249.0,249.0,1.10482864,6.306342697143554,0.20873736510388602,37.15,250.0,250.0
37,37,443,5.610227584838867,3.626322507858277,0,0.228236092486,36.5,249.0,249.0,0.83100984,6.15036301612854,0.20782894347368597,37.1,249.8,249.8
38,38,444,6.108242988586426,3.5908732414245605,0,0.0726146452861,36.5,249.0,249.0,0.92594648,6.139171886444092,0.18704972837639602,36.6,249.7,249.7
39,39,445,5.34279203414917,3.5978970527648926,0,0.0775129884466,34.5,249.0,249.0,0.71986424,6.051140594482422,0.178203477714756,36.0,249.6,249.6
40,40,446,5.9700117111206055,3.6729812622070312,1,0.327355831193,39.0,249.0,249.0,0.80542816,6.018115711212158,0.17569068706945598,36.4,249.5,249.5
41,41,699,7.306941032409668,7.905593395233154,0,0.0,0.0,0.0,0.0,0.0,6.127070760726928,0.175071947395839,32.9,224.5,224.5
42,42,700,7.272735595703125,7.729876518249512,0,0.454848225522,695.0,274.0,274.0,0.73146016,6.238206911087036,0.202286281355439,98.65,226.9,226.9
43,43,701,7.332278251647949,8.855147361755371,0,0.108246210207,695.5,274.0,274.0,0.89351912,6.365108299255371,0.183901308224939,164.55,229.3,229.3
