,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,192,2.959920644760132,5.3306379318237305,0,0.0,0.0,0.0,0.0
1,1,193,3.5648021697998047,5.327483177185059,0,0.269215209298,542.0,213.0,213.0
2,2,194,3.1897759437561035,5.284924030303955,0,0.409300617901,512.0,214.0,214.0
3,3,195,3.533997774124145,5.253165721893311,0,0.0758155363709,510.5,214.0,214.0
4,4,196,3.0524489879608154,5.274982929229736,0,0.165236944794,513.0,214.0,214.0
5,5,197,3.1273086071014404,5.284732341766357,0,0.359146104826,521.5,214.0,214.0
6,6,198,3.15901255607605,5.286797523498535,0,0.346276269847,513.0,214.0,214.0
7,7,199,3.3549840450286865,5.286797523498535,0,0.254499108103,513.0,214.0,214.0
8,8,200,3.4437873363494877,4.8206467628479,0,0.405061534894,514.5,213.0,213.0
9,9,201,3.4832749366760254,4.6258416175842285,0,0.343296769699,518.5,213.0,213.0
10,10,202,3.4714126586914062,4.443445682525635,0,0.250387506311,516.5,214.0,214.0
11,11,203,2.972599506378174,5.474470615386963,0,0.372366479078,531.5,214.0,214.0
12,12,204,3.182785987854004,5.480048179626465,0,0.304273031745,530.5,214.0,214.0
13,13,205,3.125359058380127,5.4089674949646,0,0.343253667399,529.5,214.0,214.0
14,14,206,2.840144634246826,5.51975679397583,0,0.28874754299,527.5,214.0,214.0
15,15,207,2.9542107582092285,4.786090850830078,0,0.399506689572,535.5,214.0,214.0
16,16,208,2.58162522315979,4.666258811950684,0,0.247952242507,531.5,214.0,214.0
17,17,209,3.4781744480133057,4.691576480865479,0,0.36629979153,519.5,214.0,214.0
18,18,210,2.522194623947144,4.691576480865479,0,0.200501750589,519.5,214.0,214.0
19,19,211,3.090402603149414,4.671626091003418,0,0.419283643333,526.5,214.0,214.0
20,20,212,2.6137826442718506,4.664584159851074,0,0.387381102027,523.5,214.0,214.0
21,21,213,3.394069194793701,5.041568756103516,0,0.510419959981,522.5,214.0,214.0
22,22,214,2.337886333465576,5.21442174911499,0,0.267321817231,524.5,214.0,214.0
23,23,215,3.0215797424316406,5.21442174911499,0,0.278894406366,524.5,214.0,214.0
24,24,216,2.712991952896118,5.065487384796143,0,0.302663715664,527.0,214.0,214.0
25,25,217,3.119675874710083,5.065113544464111,0,0.395497715065,527.0,214.0,214.0
26,26,218,2.501208066940308,5.090464115142822,0,0.298260565537,534.0,214.0,214.0
27,27,219,2.8074450492858887,5.61310338973999,0,0.330137854536,548.0,214.0,214.0
28,28,220,2.817645072937012,5.61310338973999,0,0.175557101945,548.0,214.0,214.0
29,29,221,2.8807647228240967,5.322087287902832,0,0.243620344905,544.5,214.0,214.0
30,30,222,2.6996898651123047,4.785120487213135,0,0.278139313943,543.5,214.0,214.0
31,31,223,2.5554039478302,4.7579874992370605,0,0.214263946645,527.5,214.0,214.0
32,32,224,3.069636821746826,4.779415130615234,0,0.350594179291,527.0,214.0,214.0
33,33,225,2.235135793685913,4.794764995574951,0,0.396563630897,537.0,214.0,214.0
34,34,226,2.808898687362671,5.09025764465332,0,0.239438773621,537.0,214.0,214.0
35,35,227,2.582531213760376,5.058712005615234,0,0.169582002901,533.0,214.0,214.0
36,36,228,3.382243633270264,5.021549701690674,0,0.217592187767,531.0,214.0,214.0
37,37,229,2.5151212215423584,5.021549701690674,0,0.037359688025,531.0,214.0,214.0
38,38,230,2.540865421295166,4.959360599517822,0,0.362885679485,527.0,214.0,214.0
39,39,231,2.772707223892212,4.94578742980957,0,0.186487205709,527.0,214.0,214.0
40,40,232,2.122074604034424,5.234498023986816,0,0.300954964846,526.0,214.0,214.0
41,41,233,3.242609739303589,4.695206165313721,0,0.23883447669,527.5,214.0,214.0
42,42,234,2.411323547363281,4.989678382873535,0,0.234612787998,529.5,214.0,214.0
43,43,235,3.899501323699951,4.859135150909424,0,0.279031848932,510.0,215.0,215.0
44,44,236,2.655125856399536,4.88912296295166,0,0.39165327458,528.5,214.0,214.0
45,45,237,3.611304521560669,4.74775505065918,0,0.192232518844,511.0,214.0,214.0
46,46,238,2.671365261077881,5.393807888031006,0,0.249643720489,522.5,215.0,215.0
47,47,239,4.0892653465271,5.3138861656188965,0,0.283392888231,538.0,215.0,215.0
48,48,240,2.7289106845855717,4.813722133636475,0,0.4544639863,545.5,214.0,214.0
49,49,241,3.9526174068450928,4.84708833694458,0,0.323212214261,536.5,214.0,214.0
50,50,242,2.853386878967285,4.787642955780029,0,0.24359481005,533.5,214.0,214.0
51,51,243,3.754035234451294,4.818743705749512,0,0.381543373023,528.5,214.0,214.0
52,52,244,3.1084144115448,4.818739414215088,0,0.263996732205,527.0,214.0,214.0
53,53,245,3.4392106533050537,4.198363304138184,0,0.358360194321,513.5,215.0,215.0
54,54,246,3.512590169906616,4.223043441772461,0,0.228982565521,515.5,214.0,214.0
55,55,247,3.5359866619110107,4.223043441772461,0,0.0509279782495,515.5,214.0,214.0
56,56,248,3.775736093521118,4.178147792816162,0,0.41528057765,528.0,214.0,214.0
57,57,249,3.896932601928711,4.180865287780762,0,0.238447931212,529.0,214.0,214.0
58,58,250,3.535813093185425,4.178333282470703,0,0.234174382409,528.0,214.0,214.0
59,59,251,3.80696964263916,4.17864990234375,0,0.203858203691,528.0,214.0,214.0
60,60,252,3.151822090148926,4.2121262550354,0,0.217456041157,529.0,214.0,214.0
61,61,253,3.937698602676392,4.751904010772705,0,0.24910244317,527.0,214.0,214.0
62,62,254,3.9341306686401367,4.419519424438477,0,0.306193413189,527.0,214.0,214.0
