,index,emd_ani_sal,emd_ani_gaze,label
0,333,0.0120906550437211,4.1892266273498535,0
1,883,0.0673733353614807,0.2014751583337783,1
2,893,0.0976731032133102,0.064507395029068,0
3,4434,0.0167310573160648,0.641997218132019,1
4,4447,0.0152926286682486,0.2717922031879425,0
5,6037,0.1127083227038383,0.7706159949302673,1
6,6047,0.0765704736113548,0.2096638530492782,0
7,7496,0.1781144738197326,0.671486496925354,1
8,7510,0.1002759113907814,0.1238699480891227,0
9,8602,0.4178096354007721,0.1258174479007721,1
