,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,214,3.560776233673096,6.968158721923828,0,0.0,0.0,0.0,0.0
1,1,215,2.7444303035736084,6.968158721923828,0,6.38107276981e-07,341.5,210.0,210.0
2,2,216,3.116814613342285,6.913368225097656,0,0.000222746692457,340.5,211.0,211.0
3,3,217,2.7339956760406494,6.929556369781494,0,0.000130580081682,340.5,211.0,211.0
4,4,218,3.274280071258545,6.929556369781494,0,2.68062305782e-06,340.5,211.0,211.0
5,5,219,2.923311710357666,5.186048030853272,0,0.000103931586029,340.0,211.0,211.0
6,6,220,2.910009384155273,4.487254142761231,0,6.53243761585e-05,341.0,211.0,211.0
7,7,221,3.0272319316864014,4.487254142761231,0,0.0,341.0,211.0,211.0
8,8,222,3.170267105102539,4.817584037780762,0,0.000116799450786,340.5,211.0,211.0
9,9,223,3.0349371433258057,4.61933183670044,0,0.000167071590961,340.0,211.0,211.0
10,10,224,2.8215155601501465,4.736884593963623,0,0.000629635173549,333.0,212.0,212.0
11,11,225,3.382952690124512,4.736884593963623,0,2.06715663386e-06,333.0,212.0,212.0
12,12,226,3.3037517070770264,4.589696407318115,0,0.000298964531867,331.0,212.0,212.0
13,13,227,3.069995403289795,4.51359748840332,0,0.000162405712138,330.0,212.0,212.0
14,14,228,2.780696392059326,4.52672004699707,0,0.000157205694794,331.0,212.0,212.0
15,15,229,3.0230093002319336,4.538282871246338,0,0.000188405791956,333.0,212.0,212.0
16,16,230,3.1206159591674805,4.538282871246338,0,3.81717884491e-06,333.0,212.0,212.0
17,17,231,2.9924960136413574,4.5844340324401855,0,0.000168269066644,331.0,212.0,212.0
18,18,232,2.420259475708008,4.630845069885254,0,8.69400036107e-05,331.5,212.0,212.0
19,19,233,2.767319202423096,4.623132228851318,0,0.000220325213194,335.5,212.0,212.0
20,20,234,2.7035388946533203,4.623132228851318,0,5.97721660584e-06,335.5,212.0,212.0
21,21,235,2.4398117065429688,4.831637382507324,0,9.48179374134e-05,335.5,212.0,212.0
22,22,236,2.69140625,4.599675178527832,0,0.000145490424995,334.0,212.0,212.0
23,23,237,2.994302988052368,4.843817234039307,0,0.000203228856788,332.0,212.0,212.0
24,24,238,3.027966260910034,4.843817234039307,0,0.0,332.0,212.0,212.0
25,25,239,2.7540535926818848,4.83222770690918,0,3.87665090836e-05,332.0,212.0,212.0
26,26,240,2.773398876190185,4.919262409210205,0,0.000125642053321,331.0,212.0,212.0
27,27,241,2.8529343605041504,4.786459922790527,0,0.000236042900678,331.5,212.0,212.0
28,28,242,2.9258532524108887,4.88930082321167,0,0.000191267494875,335.5,211.0,211.0
29,29,243,2.445646047592163,4.88930082321167,0,9.85237064208e-07,335.5,211.0,211.0
30,30,244,2.774165391921997,4.993134021759033,0,0.000133521801918,333.5,211.0,211.0
31,31,245,2.826953411102295,4.369864940643311,0,4.32572250169e-05,335.5,211.0,211.0
32,32,246,3.0714423656463623,4.380180358886719,0,9.66788133647e-05,335.5,211.0,211.0
33,33,247,2.6225528717041016,4.380180358886719,0,2.26996366758e-06,335.5,211.0,211.0
34,34,248,3.208993911743164,4.399789810180664,0,0.000131449890287,335.5,211.0,211.0
35,35,249,2.56655216217041,4.38408899307251,0,0.00013222855576,335.0,211.0,211.0
36,36,250,2.983055591583252,4.38234281539917,0,0.000218574947192,340.5,211.0,211.0
37,37,251,2.182342767715454,4.38234281539917,0,2.00556430169e-06,340.5,211.0,211.0
38,38,252,3.0601119995117188,5.667769432067871,0,0.000127837319358,340.0,211.0,211.0
39,39,253,2.58993935585022,5.820339679718018,0,0.000223624636011,341.0,211.0,211.0
40,40,254,2.808334350585937,3.9956142902374263,0,0.000109042043385,338.5,211.0,211.0
41,41,255,2.323237895965576,3.9956142902374263,0,1.33463986608e-06,338.5,211.0,211.0
42,42,256,3.220648288726806,4.467153072357178,0,1.55583877542e-05,338.5,211.0,211.0
43,43,257,2.569627285003662,4.508669853210449,0,7.66843429525e-05,338.5,211.0,211.0
44,44,258,2.856691837310791,4.357268810272217,0,6.40504795446e-05,338.5,211.0,211.0
45,45,259,2.817257881164551,4.404335975646973,0,9.14468366915e-05,338.0,211.0,211.0
46,46,260,2.8945424556732178,4.404335975646973,0,3.92994609525e-07,338.0,211.0,211.0
47,47,261,2.8490583896636963,4.441117286682129,0,0.000169330098529,336.0,211.0,211.0
48,48,262,2.7480404376983643,4.453213691711426,0,0.000113319811748,338.0,211.0,211.0
49,49,263,2.824887990951538,4.453213691711426,0,3.93196377052e-07,338.0,211.0,211.0
50,50,264,2.7760581970214844,4.082249164581299,0,4.84645180016e-05,338.0,211.0,211.0
51,51,265,2.687260150909424,4.166450500488281,0,0.000171693067753,339.5,211.0,211.0
52,52,266,2.720235109329224,4.166450500488281,0,9.70364802627e-07,339.5,211.0,211.0
53,53,267,2.977766513824463,4.361093997955322,0,0.00022373209366,342.5,211.0,211.0
54,54,268,3.037662982940674,4.209266662597656,0,0.000152759297734,342.0,211.0,211.0
55,55,269,2.6037769317626958,4.209266662597656,0,0.0,342.0,211.0,211.0
56,56,270,3.137796640396118,4.355363845825195,0,0.000100131702206,341.0,211.0,211.0
