,index,emd_ani_sal,emd_ani_gaze,label
0,202,7.754776477813721,5.31732988357544,0
1,315,6.728274822235107,5.883759498596191,1
2,326,6.031599521636963,1.788156032562256,0
3,1296,2.612659454345703,3.631357192993164,1
4,1302,2.2290403842926025,3.24451756477356,0
5,1305,2.717433452606201,0.8710299730300903,1
6,1315,2.9932026863098145,0.4224971532821655,0
7,1884,5.316484928131104,0.3711013495922088,1
8,1895,5.685418128967285,2.327932596206665,0
9,2346,7.405159473419189,3.706133365631104,1
10,2356,5.727811336517334,4.858509063720703,0
11,3085,8.96358871459961,1.9581303596496584,1
12,3095,7.678493022918701,5.654741287231445,0
13,3447,7.68272590637207,0.962077796459198,1
14,3457,6.761569023132324,5.957065105438232,0
15,4545,3.4755401611328125,1.7387566566467283,1
16,4817,7.881779193878174,9.02617359161377,0
17,5021,5.523265361785889,0.6517633199691772,1
