,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,258,6.838605880737305,7.545044422149658,0,0.0,0.0,0.0,0.0
1,1,259,6.937833309173584,7.656535625457764,0,0.0698949566692,314.5,260.0,260.0
2,2,260,6.840081691741943,7.117137432098389,0,0.0610392291864,311.5,259.0,259.0
3,3,261,7.207908153533935,7.117137432098389,0,0.015330073495,311.5,259.0,259.0
4,4,262,7.112578868865967,7.02163553237915,0,0.141149842607,310.0,259.0,259.0
5,5,263,6.958639144897461,7.254220008850098,0,0.0792006813051,310.5,259.0,259.0
6,6,264,7.550352096557617,6.761883735656738,0,0.062078846933,310.0,259.0,259.0
7,7,265,6.624112606048584,6.7281670570373535,0,0.0748461382629,307.0,259.0,259.0
8,8,266,7.154560565948486,6.74505615234375,0,0.117912379922,307.0,259.0,259.0
9,9,267,7.428205013275146,6.74505615234375,0,0.00249238604624,307.0,259.0,259.0
10,10,268,7.68907356262207,6.72793436050415,0,0.149683357918,308.0,259.0,259.0
11,11,269,7.424984455108643,6.759191513061523,0,0.104002534436,309.5,259.0,259.0
12,12,270,7.611958503723144,6.773789882659912,0,0.0607190696383,309.5,259.0,259.0
13,13,271,8.480873107910156,6.775852680206299,0,0.0816172922557,309.5,259.0,259.0
14,14,272,7.319779396057129,6.7720046043396,0,0.000906586050603,309.0,259.0,259.0
15,15,273,8.251148223876953,6.270472049713135,0,0.054634351588,309.5,259.0,259.0
16,16,274,6.757467746734619,4.341305732727051,0,0.101295645376,309.0,259.0,259.0
17,17,275,8.44597053527832,5.958519458770752,0,0.106409085989,309.0,259.0,259.0
18,18,276,7.291215419769287,5.948821544647217,0,0.0587180513949,312.0,260.0,260.0
19,19,277,8.926313400268555,6.326272010803223,0,0.0415635082772,314.5,260.0,260.0
20,20,278,8.901732444763184,5.756703853607178,0,0.0853022502647,312.5,259.0,259.0
21,21,279,9.522982597351074,4.417187690734863,0,0.0693755395793,311.5,259.0,259.0
22,22,280,8.713959693908691,4.298508167266846,0,0.0557297372137,312.5,259.0,259.0
23,23,281,8.157341957092285,5.583485126495361,0,0.0635043106256,309.5,259.0,259.0
24,24,282,7.965834617614746,5.583485126495361,0,0.0389266849635,309.5,259.0,259.0
25,25,283,7.539386749267578,7.099760055541992,0,0.0863519035752,312.5,259.0,259.0
26,26,284,6.93459939956665,6.21548318862915,0,0.0597025262205,313.5,259.0,259.0
27,27,285,7.317468643188477,6.139500141143799,0,0.0504512717057,316.5,260.0,260.0
28,28,286,7.297444820404053,6.101089477539063,0,0.153012747021,316.0,260.0,260.0
29,29,287,7.4722185134887695,6.098767757415772,0,0.0141162465836,315.0,260.0,260.0
30,30,288,6.571177005767822,6.025327205657959,0,0.134289452534,315.5,260.0,260.0
31,31,289,8.072366714477539,6.063318729400635,0,0.0688253553758,316.5,260.0,260.0
32,32,290,7.294350624084473,6.063318729400635,0,0.0517480906661,316.5,260.0,260.0
33,33,291,7.619467258453369,6.654245853424072,0,0.0611337917251,318.5,260.0,260.0
34,34,292,7.039637565612793,6.258800029754639,0,0.0875184699299,316.5,260.0,260.0
35,35,293,8.364522933959961,5.873106002807617,0,0.171700939877,313.5,259.0,259.0
36,36,294,7.545699596405029,5.874313831329346,0,0.00654155270615,314.5,259.0,259.0
37,37,295,7.298668384552002,6.108020305633545,0,0.0506328039593,315.5,259.0,259.0
38,38,296,6.5246992111206055,6.263288974761963,0,0.127993511886,314.5,259.0,259.0
39,39,297,7.874917984008789,6.884023189544678,0,0.105144579461,317.0,259.0,259.0
40,40,298,6.498143196105957,7.293549537658691,0,0.118867045937,318.5,260.0,260.0
41,41,299,7.406670570373535,7.295308113098144,0,0.0151883707954,317.5,260.0,260.0
42,42,300,6.936741352081299,7.2879228591918945,0,0.0483576240994,317.5,260.0,260.0
43,43,301,8.089344024658203,7.309945106506348,0,0.0643534792802,316.0,260.0,260.0
44,44,302,6.268922805786133,7.1877641677856445,0,0.117331984177,318.0,260.0,260.0
45,45,303,7.411310195922852,6.68598747253418,0,0.0432889838244,318.0,260.0,260.0
46,46,304,7.601212501525879,6.236782073974609,0,0.10216975426,318.5,260.0,260.0
47,47,305,8.046289443969727,6.234959125518799,0,0.018815351602,317.5,260.0,260.0
48,48,306,6.863606929779053,7.756787776947021,0,0.15968276071,315.0,260.0,260.0
49,49,307,6.907448768615723,7.862878322601318,0,0.188989840154,316.0,260.0,260.0
50,50,308,8.052459716796875,7.600098609924316,0,0.0710477360002,316.0,260.0,260.0
51,51,309,7.60656213760376,7.960063934326172,0,0.0651287317681,313.0,260.0,260.0
52,52,310,7.439260959625244,7.962745189666748,0,0.126013064324,317.0,260.0,260.0
53,53,311,7.656630992889404,7.934787273406982,0,0.159811540772,316.5,260.0,260.0
54,54,312,7.496124744415283,7.934787273406982,0,0.014300146109,316.5,260.0,260.0
55,55,313,6.694951057434082,7.937361240386963,0,0.0828125385386,316.5,260.0,260.0
56,56,314,6.767701148986816,6.906741619110107,0,0.0899782636738,319.0,260.0,260.0
57,57,315,7.783708572387695,6.956885814666748,0,0.0473890868952,319.5,260.0,260.0
58,58,316,6.411849021911621,7.025673389434815,0,0.0601034255716,316.5,260.0,260.0
59,59,317,6.133518218994141,6.865701198577881,0,0.0982025748888,316.5,260.0,260.0
60,60,318,6.540030479431152,6.25987434387207,0,0.108088259377,314.5,260.0,260.0
