,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y
0,0,232,0.0,4.514163494110107,0,0.0,0.0,0.0,0.0
1,1,233,5.060025215148926,5.1774516105651855,0,0.112844468332,309.0,210.0,210.0
2,2,234,4.932848930358887,5.1774516105651855,0,0.01689950672,309.0,210.0,210.0
3,3,235,4.770177364349365,6.5733723640441895,0,0.12277524573,308.5,210.0,210.0
4,4,236,4.784403324127197,6.5733723640441895,0,0.0998560462025,308.5,210.0,210.0
5,5,237,4.7983832359313965,6.714076519012451,0,0.109054282509,310.5,210.0,210.0
6,6,238,4.763499736785889,6.762582778930664,0,0.181963644513,311.0,210.0,210.0
7,7,239,4.226477146148682,5.73522424697876,0,0.172340765599,311.0,210.0,210.0
8,8,240,4.66051197052002,5.136141300201416,0,0.100690865639,312.0,210.0,210.0
9,9,241,4.4753899574279785,5.025142192840576,0,0.18539772359,311.5,210.0,210.0
10,10,242,4.467989444732666,5.178768634796143,0,0.177371143555,312.5,210.0,210.0
11,11,243,4.215999126434326,5.178768634796143,0,0.105659182729,312.5,210.0,210.0
12,12,244,4.824325084686279,5.141953945159912,0,0.205311807294,311.5,210.0,210.0
13,13,245,4.617206573486328,5.155825614929199,0,0.14310985854,315.0,210.0,210.0
14,14,246,4.743247032165527,5.136645793914795,0,0.123184969824,314.5,210.0,210.0
15,15,247,4.241833686828613,5.136645793914795,0,0.140012479587,314.5,210.0,210.0
16,16,248,4.384469509124756,5.15850830078125,0,0.181421122158,313.5,210.0,210.0
17,17,249,5.105485916137695,4.311786651611328,0,0.129510982837,316.5,210.0,210.0
18,18,250,4.146542549133301,4.27509069442749,0,0.148783793176,316.5,210.0,210.0
19,19,251,4.894616603851318,4.412961483001709,0,0.0936370130092,314.5,210.0,210.0
20,20,252,4.790462970733643,4.38783597946167,0,0.170565050793,315.5,210.0,210.0
21,21,253,5.287917613983154,4.825663566589356,0,0.0673456433913,318.0,210.0,210.0
22,22,254,4.597437858581543,4.825663566589356,0,0.017766511918,318.0,210.0,210.0
23,23,255,4.687562465667725,4.969830989837647,0,0.18072260759,317.5,210.0,210.0
24,24,256,4.536880970001221,4.740067005157471,0,0.199391780119,320.5,210.0,210.0
25,25,257,4.789150714874268,5.164855003356934,0,0.122878189242,319.0,210.0,210.0
26,26,258,4.5328874588012695,4.288471221923828,0,0.0922209407485,319.0,210.0,210.0
27,27,259,3.880796194076538,4.288471221923828,0,0.105613627915,319.0,210.0,210.0
28,28,260,4.614409446716309,5.366031169891357,0,0.147850975565,320.5,210.0,210.0
29,29,261,4.065188407897949,4.2439141273498535,0,0.133456025101,320.5,210.0,210.0
30,30,262,4.541914939880371,5.391538143157959,0,0.21667051676,318.5,210.0,210.0
31,31,263,4.529705047607422,5.391538143157959,0,0.0746379678578,318.5,210.0,210.0
32,32,264,5.17174243927002,5.517813682556152,0,0.042371494583,320.0,210.0,210.0
33,33,265,4.202539443969727,5.473698616027832,0,0.044203837054,323.0,210.0,210.0
34,34,266,5.283158302307129,5.505478858947754,0,0.122827622953,321.5,210.0,210.0
35,35,267,4.991369724273682,5.505478858947754,0,0.0991968879891,321.5,210.0,210.0
36,36,268,5.241796970367432,5.578516483306885,0,0.169605080185,323.5,210.0,210.0
37,37,269,4.947951316833496,5.559184074401856,0,0.119268654441,324.5,210.0,210.0
38,38,270,4.527100563049316,5.559184074401856,0,0.150082828058,324.5,210.0,210.0
39,39,271,5.102385520935059,5.662073612213135,0,0.21190132932,326.0,210.0,210.0
40,40,272,4.490437984466553,4.827308654785156,0,0.171316248743,325.0,209.0,209.0
41,41,273,4.878561973571777,4.157427787780762,0,0.124796189241,325.0,209.0,209.0
42,42,274,4.194819450378418,4.157427787780762,0,0.0602844178137,325.0,209.0,209.0
43,43,275,5.086968898773193,4.880600452423096,0,0.0980624466178,327.0,209.0,209.0
44,44,276,4.858625888824463,4.274869441986084,0,0.141939145121,326.5,209.0,209.0
45,45,277,5.247523307800293,4.400912761688232,0,0.0744940557923,327.5,209.0,209.0
46,46,278,5.168963432312012,4.400912761688232,0,0.0444476296762,327.5,209.0,209.0
47,47,279,5.614985466003418,4.386445999145508,0,0.100631886431,327.5,209.0,209.0
48,48,280,5.798069953918457,4.491101741790772,0,0.0608609093608,327.5,209.0,209.0
49,49,281,4.734035491943359,4.405606269836426,0,0.114256964237,327.0,209.0,209.0
50,50,282,5.604907512664795,5.018989562988281,0,0.132153621249,330.0,209.0,209.0
51,51,283,4.431049346923828,5.018989562988281,0,0.0493253322279,330.0,209.0,209.0
52,52,284,5.686031818389893,5.537322044372559,0,0.153982136199,329.0,209.0,209.0
53,53,285,5.475794315338135,5.655806541442871,0,0.159913213775,330.0,209.0,209.0
54,54,286,6.327352523803711,5.880889892578125,0,0.0908869711274,331.0,209.0,209.0
55,55,287,5.124543190002441,5.725495338439941,0,0.136803554014,333.0,209.0,209.0
56,56,288,6.134959697723389,5.721027851104736,0,0.0133459225691,332.0,209.0,209.0
57,57,289,5.300166130065918,5.6433820724487305,0,0.17166944282,331.5,209.0,209.0
58,58,290,6.216063976287842,5.7039079666137695,0,0.211505140859,330.5,209.0,209.0
59,59,291,5.411577224731445,5.705875396728516,0,0.134230040928,330.5,209.0,209.0
