,index,emd_ani_sal,emd_ani_gaze,label
0,215,0.0997719913721084,3.2077512741088867,0
1,1502,0.0855254307389259,1.6604912281036377,1
2,1516,0.0280838701874017,2.3659422397613525,0
3,1919,0.3516767919063568,1.005199313163757,1
4,1937,0.0610967576503753,1.3253611326217651,0
5,2642,0.3630488812923431,1.1510010957717896,1
6,2658,0.4357154369354248,0.6355804800987244,0
7,3755,0.1421375721693039,1.3120909929275513,1
8,3770,0.0927815213799476,1.1370826959609983,0
9,4145,0.0754305347800254,1.318669319152832,1
10,4162,0.0208027958869934,3.3592324256896973,0
11,5029,0.3717717230319977,2.736610651016236,1
